Seed,Ablation,Accuracy,Balanced Accuracy,AUC (Macro),AUCPRC (Macro),F1 Macro,PPV (Precision),NPV,Sensitivity (Recall),Specificity,FLOPs/Sample,SynOps/Sample,Latency
42,No_Focal_No_Sampling,0.7843621399176954,0.6152071460375999,0.9729473536848248,0.721883854371601,0.6277597420454839,0.6898186435261968,0.9946695564158633,0.6152071460375999,0.9945568613443547,225280.00000000722,3956.361316872428,3.103758572550958e-05
1,No_Focal_No_Sampling,0.7802469135802469,0.6049670300436764,0.9752525229595539,0.6858391364639405,0.5983140758901184,0.6148432330575108,0.9945524908157058,0.6049670300436764,0.994470157560769,225280.00000000722,3438.9349794238683,7.850446818787374e-05
7,No_Focal_No_Sampling,0.805761316872428,0.6846645602342635,0.9767287503273094,0.7568821300388301,0.7023236835199922,0.7656650161326216,0.9951926002684848,0.6846645602342635,0.9950852726586484,225280.00000000722,3787.3769547325105,2.812534693337272e-05
13,No_Focal_No_Sampling,0.7967078189300412,0.6708498724577817,0.9767706646705789,0.7440777449568541,0.6692428341449006,0.6892571503663922,0.9949422513994922,0.6708498724577817,0.994889842801779,225280.00000000722,4178.723456790123,2.8387901714309253e-05
21,No_Focal_No_Sampling,0.8008230452674897,0.6787210620074189,0.9736326628724994,0.7798003564131685,0.6726692743554827,0.6894365382527706,0.9950343623697432,0.6787210620074189,0.9950101674028501,225280.00000000722,4052.795061728395,3.082722793390722e-05
69,No_Focal_No_Sampling,0.7967078189300412,0.6024928387803395,0.9638215506081348,0.6834299654336233,0.5902017650451082,0.5974288364254777,0.9949634811787927,0.6024928387803395,0.9949033723839251,225280.00000000722,3434.8987654320986,4.517374705875852e-05
88,No_Focal_No_Sampling,0.7777777777777778,0.547822831509659,0.9619865604388012,0.6435191613679629,0.544153849964645,0.5721227026688344,0.9944941393399385,0.547822831509659,0.9944311575740663,225280.00000000722,2961.9037037037037,3.008037928200553e-05
101,No_Focal_No_Sampling,0.8008230452674897,0.6608697487630608,0.9716399940844679,0.7361933371720093,0.6614408478739094,0.6786521795454302,0.9950492639065674,0.6608697487630608,0.9950015737735676,225280.00000000722,3517.7448559670784,2.932273801952723e-05
404,No_Focal_No_Sampling,0.7934156378600823,0.6788753075692269,0.9778438485779236,0.7673043311563338,0.688196624183494,0.7328095467189594,0.9948401775276507,0.6788753075692269,0.9948203740723994,225280.00000000722,4065.7925925925924,2.8706185611677757e-05
777,No_Focal_No_Sampling,0.7917695473251029,0.6316949430126394,0.9690388322989172,0.7260470821971117,0.6284511610397627,0.6499077426266935,0.9948183453960086,0.6316949430126394,0.9947882224618534,225280.00000000722,3880.8181069958846,4.2373751416618444e-05
