Seed,Accuracy,Balanced Accuracy,AUC (Macro),AUCPRC (Macro),F1 Macro,PPV (Precision),NPV,Sensitivity (Recall),Specificity,FLOPs/Sample,SynOps/Sample,Latency
42,0.09465020576131687,0.15815635602103117,0.7372497909100718,0.11386312027409119,0.07957278168947007,0.08785706790114232,0.9777960646917214,0.15815635602103117,0.9777641987782995,224960,4783.435390946502,1.2635399775249968e-05
1,0.10452674897119342,0.10864888679612458,0.6663253849615498,0.11815161733644294,0.07243334505447722,0.0781369238802517,0.977997177008463,0.10864888679612458,0.9779782947930364,224960,4870.086419753086,1.2477631431548193e-05
7,0.07489711934156379,0.0811567155479348,0.7121814376278613,0.11326128528193115,0.05007259366500803,0.07251846433317888,0.9775261786748772,0.0811567155479348,0.9775197420983224,224960,4971.437037037037,1.2090471055772569e-05
13,0.10452674897119342,0.1164494911480158,0.727682795465826,0.10905873169485934,0.07932995720582017,0.09082186432843724,0.9779863174672317,0.1164494911480158,0.9779410005189634,224960,4721.466666666666,1.3225657459149144e-05
21,0.09053497942386832,0.08938895943236957,0.6788131975184912,0.09885089576616733,0.06305226044630505,0.08477811084178918,0.9777093838992257,0.08938895943236957,0.9777239119775606,224960,4876.80658436214,1.2358324027355807e-05
69,0.07818930041152264,0.12655568157141733,0.6798741539383355,0.08891387894220501,0.0640483719443441,0.07706842411890014,0.9775515699489794,0.12655568157141733,0.9775547570618104,224960,4812.879012345679,1.220703125e-05
88,0.06584362139917696,0.06838756360947491,0.6561232284398661,0.07974769065042706,0.04179153157718509,0.05504485273384331,0.977175867941694,0.06838756360947491,0.9771555313879242,224960,4851.281481481482,1.261891651546023e-05
101,0.08065843621399177,0.07274894585105265,0.680461243240089,0.08459437724985584,0.0499373515283693,0.06008641780086165,0.9775504447241468,0.07274894585105265,0.9775324188734567,224960,4692.905349794239,1.2321432922112107e-05
404,0.1111111111111111,0.09853601975828877,0.712307076122555,0.11863505777787196,0.0680083915895026,0.08752519366759837,0.9782539387193614,0.09853601975828877,0.9782330081865473,224960,4819.614814814815,1.2459774566775977e-05
777,0.097119341563786,0.09063553117577995,0.658284287000413,0.08588140063912915,0.06516311668524692,0.08276485516034622,0.9779597058952288,0.09063553117577995,0.9779810859181569,224960,4727.122633744856,1.2318881941430363e-05
