Seed,Accuracy,Balanced Accuracy,AUC (Macro),AUCPRC (Macro),F1 Macro,PPV (Precision),NPV,Sensitivity (Recall),Specificity,FLOPs/Sample,SynOps/Sample,Latency
42,0.7473251028806585,0.7369824327780977,0.9567639139753245,0.7582029301053511,0.7126078742169847,0.7378205771832208,0.9937206113625804,0.7369824327780977,0.9937829715042977,225280.00000000722,3671.554732510288,3.492861618230372e-05
1,0.7835390946502058,0.7318440787672368,0.9742846273324759,0.7466065294371871,0.7175224744139589,0.7207788298440234,0.9945725512929607,0.7318440787672368,0.9945948352964271,225280.00000000722,2861.7473251028805,2.8220125677163708e-05
7,0.7596707818930041,0.7551453851564207,0.9785622442054541,0.7765454892755738,0.72377231121709,0.7403299608338008,0.9940285083657747,0.7551453851564207,0.994100909018314,225280.00000000722,3583.5909465020577,3.8530993363494244e-05
13,0.7868312757201646,0.7151334423118327,0.9450391664328419,0.7567958891695671,0.7056035506586282,0.7114308566407368,0.9946670371097125,0.7151334423118327,0.9947060112509474,225280.00000000722,3766.178600823045,2.913318053194525e-05
21,0.7942386831275721,0.7364351958377642,0.9595954852346202,0.7545586098370479,0.7168444822006782,0.7116229342098543,0.9948391464959311,0.7364351958377642,0.9948607018346367,225280.00000000722,3881.376131687243,2.9031729992525077e-05
69,0.7185185185185186,0.6749144625331338,0.9703771204823013,0.7079350338674919,0.6520662053278352,0.6732001466283847,0.9929717604153742,0.6749144625331338,0.99298220654735,225280.00000000722,2793.567901234568,4.2761304250960485e-05
88,0.7539094650205761,0.6960601199387676,0.9573903983554068,0.7085389985720527,0.6676324180905014,0.6625286048698106,0.9938267219981373,0.6960601199387676,0.9938786781211048,225280.00000000722,2527.3786008230454,2.7489956514334973e-05
101,0.7851851851851852,0.7100284342646436,0.953060504622256,0.7413157097585724,0.6979002750335954,0.6977614415431784,0.9946266555405268,0.7100284342646436,0.9946281693734589,225280.00000000722,3185.9588477366256,2.9927124211817613e-05
404,0.7810699588477367,0.70753820653392,0.959368599754696,0.7503193314758551,0.6829854148461068,0.6831829488636435,0.9945245108296648,0.70753820653392,0.9945414019801103,225280.00000000722,4151.871604938272,5.191716637631012e-05
777,0.7465020576131687,0.7332018682016703,0.9598434627247295,0.7476278461724755,0.7053343130147525,0.7278184369969116,0.9937086377933918,0.7332018682016703,0.9937765109727595,225280.00000000722,3455.4831275720167,2.8474242598922165e-05
